Date;Open;High;Low;Close
2018.06.14;14878.83;14881.85;14786.09;14835.89
2018.06.13;14922.67;14936.98;14872.55;14878.06
2018.06.12;14811.74;14887.89;14806.28;14873.60
2018.06.11;14784.35;14879.21;14780.30;14793.53
2018.06.08;14725.76;14781.46;14677.46;14768.92
2018.06.07;14632.65;14791.60;14632.65;14742.84
2018.06.06;14447.35;14608.79;14425.34;14595.65
2018.06.05;14550.65;14561.21;14387.37;14444.21
2018.06.04;14756.88;14770.51;14540.57;14549.80
2018.06.01;14784.94;14808.21;14660.96;14673.56
2018.05.31;14725.68;14789.75;14669.02;14765.69
2018.05.30;14662.70;14716.16;14604.48;14672.26
2018.05.29;14779.08;14805.04;14670.51;14694.60
2018.05.28;14688.34;14783.52;14673.68;14765.02
2018.05.25;14493.69;14648.31;14477.39;14620.27
2018.05.24;14408.06;14484.75;14351.64;14457.14
2018.05.23;14500.12;14518.28;14367.75;14381.92
2018.05.22;14442.64;14520.93;14406.33;14506.87
2018.05.21;14611.11;14638.21;14435.68;14449.12
2018.05.18;14765.72;14771.53;14594.15;14603.81
2018.05.17;14835.61;14842.79;14742.19;14763.20
2018.05.16;14822.33;14853.09;14716.34;14801.41
2018.05.15;14873.09;15050.01;14819.48;14851.99
2018.05.14;14935.15;14960.98;14862.13;14882.28
2018.05.11;14854.44;14944.15;14835.09;14928.11
2018.05.10;14936.97;14977.79;14819.26;14832.96
2018.05.09;14915.70;14963.65;14898.13;14924.84
2018.05.08;14963.79;14972.67;14894.91;14924.78
2018.05.07;14838.60;14932.00;14825.66;14919.88
2018.05.04;14891.42;14904.31;14786.93;14803.81
2018.05.03;14981.04;14981.04;14830.93;14876.11
2018.05.02;15102.44;15109.38;14922.26;14964.72
2018.04.30;14991.44;15064.12;14986.32;15047.73
2018.04.27;14886.19;14998.31;14885.74;14961.35
2018.04.26;14825.67;14876.44;14799.76;14867.05
2018.04.25;14869.29;14885.29;14771.23;14808.99
2018.04.24;14854.90;14901.47;14832.58;14876.23
2018.04.23;14849.51;14920.04;14799.66;14850.83
2018.04.20;14823.67;14835.30;14768.03;14817.83
2018.04.19;14790.67;14835.00;14788.95;14828.75
2018.04.18;14813.63;14851.01;14734.54;14760.19
2018.04.17;14780.51;14803.72;14723.12;14786.90
2018.04.16;14610.17;14762.70;14589.86;14751.16
2018.04.13;14674.93;14743.29;14643.92;14684.22
2018.04.12;14631.38;14679.81;14597.26;14647.00
2018.04.11;14637.26;14641.18;14543.78;14616.14
2018.04.10;14626.31;14652.12;14577.51;14603.47
2018.04.09;14546.33;14614.10;14527.69;14581.07
2018.04.06;14488.02;14547.59;14448.16;14526.25
2018.04.05;14327.29;14495.42;14323.86;14483.13
2018.04.04;14413.34;14451.98;14206.80;14219.56
2018.04.03;14282.16;14390.96;14263.50;14377.82
2018.04.02;14161.85;14307.05;14159.26;14295.11
